Model,SITE,공정번호(취합열),,2팀검사원,일신1차,Remark
GSO,/1109_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1110_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1111_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1113_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1114_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1115_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1201_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1202_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1203_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1204_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1206_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1207_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1208_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
